Date (TC+1),Charge,Day Ahead Auction
2019-01-01T00:00+01:00,62176,51
2019-01-01T01:00+01:00,60301,46.27
2019-01-01T02:00+01:00,58540,39.78
2019-01-01T03:00+01:00,55144,27.87
2019-01-01T04:00+01:00,52978,23.21
2019-01-01T05:00+01:00,52584,22.64
2019-01-01T06:00+01:00,52881,20.9
2019-01-01T07:00+01:00,53173,26.54
2019-01-01T08:00+01:00,52929,25
2019-01-01T09:00+01:00,53830,25
2019-01-01T10:00+01:00,55677,34.64
2019-01-01T11:00+01:00,57722,41.03
2019-01-01T12:00+01:00,60387,48.97
2019-01-01T13:00+01:00,60029,41.06
2019-01-01T14:00+01:00,57977,37.95
2019-01-01T15:00+01:00,56719,33.42
2019-01-01T16:00+01:00,56642,39.8
2019-01-01T17:00+01:00,59439,44.29
2019-01-01T18:00+01:00,62690,62.65
2019-01-01T19:00+01:00,63741,65.56
2019-01-01T20:00+01:00,62360,61.27
2019-01-01T21:00+01:00,60160,57.41
2019-01-01T22:00+01:00,60983,58.65
2019-01-01T23:00+01:00,61763,54.91
2019-01-02T00:00+01:00,59306,53.11
2019-01-02T01:00+01:00,56993,45.87
2019-01-02T02:00+01:00,55713,39.15
2019-01-02T03:00+01:00,53472,25.84
2019-01-02T04:00+01:00,53103,28.36
2019-01-02T05:00+01:00,55361,30.72
2019-01-02T06:00+01:00,59308,51.1
2019-01-02T07:00+01:00,63485,58.37
2019-01-02T08:00+01:00,66769,56.82
2019-01-02T09:00+01:00,68375,57.44
2019-01-02T10:00+01:00,69164,61.09
2019-01-02T11:00+01:00,69929,63.63
2019-01-02T12:00+01:00,71349,62.8
2019-01-02T13:00+01:00,70323,58.65
2019-01-02T14:00+01:00,68572,55.64
2019-01-02T15:00+01:00,66816,56.72
2019-01-02T16:00+01:00,66648,62.19
2019-01-02T17:00+01:00,69886,67.1
2019-01-02T18:00+01:00,73776,69.3
2019-01-02T19:00+01:00,74391,69.25
2019-01-02T20:00+01:00,71105,63.43
2019-01-02T21:00+01:00,68056,55.64
2019-01-02T22:00+01:00,68727,55.97
2019-01-02T23:00+01:00,69839,54.31
2019-01-03T00:00+01:00,67684,47.03
2019-01-03T01:00+01:00,65391,45.93
2019-01-03T02:00+01:00,64179,45.91
2019-01-03T03:00+01:00,61822,44
2019-01-03T04:00+01:00,61255,43.88
2019-01-03T05:00+01:00,63822,45.92
2019-01-03T06:00+01:00,68352,54.69
2019-01-03T07:00+01:00,72742,66.58
2019-01-03T08:00+01:00,75911,68.03
2019-01-03T09:00+01:00,76845,69.12
2019-01-03T10:00+01:00,76941,69.19
2019-01-03T11:00+01:00,76824,68.01
2019-01-03T12:00+01:00,76666,67.2
2019-01-03T13:00+01:00,74618,66.7
2019-01-03T14:00+01:00,72433,67
2019-01-03T15:00+01:00,70453,68.01
2019-01-03T16:00+01:00,70357,68.99
2019-01-03T17:00+01:00,74180,71.15
2019-01-03T18:00+01:00,78349,73.43
2019-01-03T19:00+01:00,78676,70.55
2019-01-03T20:00+01:00,75424,68.38
2019-01-03T21:00+01:00,72057,61.72
2019-01-03T22:00+01:00,72536,59.84
2019-01-03T23:00+01:00,73389,58.65
2019-01-04T00:00+01:00,71259,55.52
2019-01-04T01:00+01:00,69124,52.91
2019-01-04T02:00+01:00,67950,49.61
2019-01-04T03:00+01:00,65782,47.41
2019-01-04T04:00+01:00,65032,47
2019-01-04T05:00+01:00,67478,47.78
2019-01-04T06:00+01:00,71628,59.54
2019-01-04T07:00+01:00,76300,68.4
2019-01-04T08:00+01:00,79410,69.71
2019-01-04T09:00+01:00,80549,71.86
2019-01-04T10:00+01:00,80666,71.58
2019-01-04T11:00+01:00,80445,70.16
2019-01-04T12:00+01:00,79807,70.16
2019-01-04T13:00+01:00,77464,69.17
2019-01-04T14:00+01:00,75130,69.15
2019-01-04T15:00+01:00,72940,68.4
2019-01-04T16:00+01:00,72506,68.4
2019-01-04T17:00+01:00,75834,73.18
2019-01-04T18:00+01:00,79502,77.23
2019-01-04T19:00+01:00,79325,75.97
2019-01-04T20:00+01:00,75996,70.2
2019-01-04T21:00+01:00,73235,68.71
2019-01-04T22:00+01:00,73455,68.68
2019-01-04T23:00+01:00,74478,67.51
2019-01-05T00:00+01:00,71564,71.68
2019-01-05T01:00+01:00,69193,63.74
2019-01-05T02:00+01:00,67678,60
2019-01-05T03:00+01:00,64664,55.84
2019-01-05T04:00+01:00,63204,53.48
2019-01-05T05:00+01:00,63825,53.34
2019-01-05T06:00+01:00,65527,52.57
2019-01-05T07:00+01:00,67662,55.67
2019-01-05T08:00+01:00,69706,60.79
2019-01-05T09:00+01:00,71656,66.92
2019-01-05T10:00+01:00,72747,69.12
2019-01-05T11:00+01:00,73262,68.25
2019-01-05T12:00+01:00,74710,67.67
2019-01-05T13:00+01:00,73275,64
2019-01-05T14:00+01:00,70462,61.57
2019-01-05T15:00+01:00,68354,59.4
2019-01-05T16:00+01:00,67679,58.31
2019-01-05T17:00+01:00,70309,67.2
2019-01-05T18:00+01:00,73722,69
2019-01-05T19:00+01:00,74167,68.71
2019-01-05T20:00+01:00,71578,68.07
2019-01-05T21:00+01:00,69314,60.05
2019-01-05T22:00+01:00,69962,65.76
2019-01-05T23:00+01:00,71312,62.8
2019-01-06T00:00+01:00,69302,60.9
2019-01-06T01:00+01:00,66762,53.78
2019-01-06T02:00+01:00,65008,51.43
2019-01-06T03:00+01:00,61893,48.02
2019-01-06T04:00+01:00,59881,48.37
2019-01-06T05:00+01:00,60027,47.17
2019-01-06T06:00+01:00,60969,48.19
2019-01-06T07:00+01:00,62216,49.11
2019-01-06T08:00+01:00,63796,51.06
2019-01-06T09:00+01:00,66230,53.4
2019-01-06T10:00+01:00,68861,56.55
2019-01-06T11:00+01:00,70727,60.02
2019-01-06T12:00+01:00,73255,60.22
2019-01-06T13:00+01:00,71440,55
2019-01-06T14:00+01:00,68189,52.39
2019-01-06T15:00+01:00,66372,51.57
2019-01-06T16:00+01:00,65624,54.71
2019-01-06T17:00+01:00,68407,63.43
2019-01-06T18:00+01:00,72902,67.37
2019-01-06T19:00+01:00,74316,67.2
2019-01-06T20:00+01:00,72178,66.03
2019-01-06T21:00+01:00,69308,55.36
2019-01-06T22:00+01:00,69405,58.59
2019-01-06T23:00+01:00,70283,54.86
2019-01-07T00:00+01:00,67742,58.15
2019-01-07T01:00+01:00,65520,51.86
2019-01-07T02:00+01:00,64364,47.84
2019-01-07T03:00+01:00,61783,46.11
2019-01-07T04:00+01:00,61178,46.08
2019-01-07T05:00+01:00,64087,47.62
2019-01-07T06:00+01:00,69731,55.77
2019-01-07T07:00+01:00,75894,68.61
2019-01-07T08:00+01:00,78211,74.15
2019-01-07T09:00+01:00,78481,74.93
2019-01-07T10:00+01:00,78622,73.59
2019-01-07T11:00+01:00,79219,71.23
2019-01-07T12:00+01:00,79524,70
2019-01-07T13:00+01:00,78174,68.74
2019-01-07T14:00+01:00,76363,66.62
2019-01-07T15:00+01:00,74409,64.99
2019-01-07T16:00+01:00,73906,62.67
2019-01-07T17:00+01:00,76310,67.04
2019-01-07T18:00+01:00,79640,70.39
2019-01-07T19:00+01:00,79271,70.33
2019-01-07T20:00+01:00,75061,69
2019-01-07T21:00+01:00,71180,62.37
2019-01-07T22:00+01:00,70714,62.3
2019-01-07T23:00+01:00,71179,56.42
2019-01-08T00:00+01:00,68095,52.29
2019-01-08T01:00+01:00,65531,42.01
2019-01-08T02:00+01:00,64060,42.57
2019-01-08T03:00+01:00,61367,29.4
